MarketName,Website,street,city,County,State,zip,Location,Credit,WIC,WICcash,SFMNP,SNAP,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine
kitty hawk farm & flea market,http://www.kittyhawkfleamarket.com,4100 N.Croatan Hwy,Kitty Hawk,Dare,North Carolina,27949,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Lenoir County Farmers Market,,100 Herritage Street,Kinston,Lenoir,North Carolina,28501,Local government building grounds,Y,N,N,N,N,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,N
King Farmers Market,,105 Moore Road,King,Stokes,North Carolina,27021,Private business parking lot,Y,Y,N,Y,N,N,Y,N,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,Y,N,N
Stokes Farmers Market - King location,,446 S. Main Street,King,Stokes,North Carolina,27021,Private business parking lot,Y,Y,N,Y,N,N,N,N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,Y,N
Blue Ridge Farmers Market,,626 Ashe Central School Road (Ashe Family Central),Jefferson,Alleghany,North Carolina,28640,Educational institution,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Onslow County Farmers Market,http://www.Onslowncfarmersmarket.com,4024 Richlands Highway,Jacksonville,Onslow,North Carolina,28540,Local government building grounds,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,Y,Y
Onslow County Farmers Market,http://www.Onslowncfarmersmarket.com,100 Recreation Lane in The Commons,Jacksonville,Onslow,North Carolina,28546,Local government building grounds,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,N
Bradford Store,http://www.thebradfordstore.com/,15915 Davidson Concord Rd,Huntersville,Mecklenburg,North Carolina,28078,"On a farm from: a barn, a greenhouse, a tent, a stand, etc",Y,N,N,N,N,Y,Y,N,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N
Growers' Market,http://www.huntersville.org/Departments/ParksRecreation/GrowersMarket.aspx,Maxwell and Main St.,Huntersville,Mecklenburg,North Carolina,28078,Local government building grounds,Y,N,N,N,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N
Novant Health and The Park-Huntersville Farmers' Market,http://www.localharvest.org/novant-health-and-the-park-huntersville-farmers-market-M58857,Corner of Reese Boulevard and Gilead Road on Presbyterian Campus,Huntersville,,North Carolina,28078,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
Wallace Community Tailgate Market,,11202 Harris Rd. (Eastfield Rd.),Huntersville,,North Carolina,28078,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
Holly Springs Farmers Market,http://www.hsfarmersmarket.com,128 S. Main St,Holly Springs,Wake,North Carolina,27540,Local government building grounds,Y,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N
Eno River Farmers Market,http://www.enoriverfarmersmarket.com,144 E. Margaret Lane,Hillsborough,Orange,North Carolina,27278,Local government building grounds,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N
Hillsborough Farmers Market I,,128 N. Churton Street,Hillsborough,Orange,North Carolina,27278,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Catawba County Public Health Farmers Market,http://www.catawbacountync.gov/phealth/Adult/FarmersMarket.asp,3070 11th Ave Dr. SE,Hickory,Catawba,North Carolina,28602,Local government building grounds,Y,Y,N,Y,N,N,N,N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N
Downtown Hickory Farmers Market,http://www.hickoryfarmersmarket.com,220 Union Square,Hickory,Catawba,North Carolina,28601,Local government building grounds,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,Y
The Market at Missing Mill,http://www.historichertfordinc.org,Missing Mill Park on W. Grubb Street,Hertford,Perquimans,North Carolina,27944,Other,Y,N,N,N,N,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,Y,N,Y,N
Hendersonville Community Coop Tailgate Market,,On Old Spartanburg Hwy between Hwy 25 and 176,Hendersonville,Henderson,North Carolina,28792,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Hendersonville Curb Market,http://www.curbmarket.com,"Church St.(US 25 South), directly across from the old courthouse",Hendersonville,Henderson,North Carolina,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Vance County Farmers Market,,380 Ruin Creek Road,Henderson,Vance,North Carolina,27536,Other,Y,N,N,N,N,Y,N,N,Y,Y,N,Y,Y,N,Y,N,N,N,N,Y,N,N,N,Y,N
Vance County Farmers Market,,900 S. Beckford Drive,Henderson,Vance,North Carolina,27536,Local government building grounds,Y,N,N,N,N,Y,N,Y,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N
Mountain Valley Farmers Market,,Old Courthouse Square,Hayesville,Clay,North Carolina,28904,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Piedmont Farmers Market,http://www.piedmont-farmersmarket.com,Robinson Church Rd,Harrisburg,Cabarrus,North Carolina,28027,Local government building grounds,Y,Y,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,Y,N
Grifton Farmers' Market,,Queen Street and Pitt Street,Grifton,Pitt,North Carolina,28530,Local government building grounds,Y,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N
Pitt County Farmers Market,,Located at 4560 County Home Road,Greenville,Pitt,North Carolina,27834,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
The Cornerstone Market,http://www.tcminc.org;www.healthylives.org,1095 Allen Road,Greenville,Pitt,North Carolina,27834,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Uptown Umbrella Market,http://www.uptowngreenville.com/,Fifth Street and Evans Street,Greenville,Pitt,North Carolina,27858,Local government building grounds,Y,N,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,Y
Greensboro Farmers' Curb Market,http://www.greensboro-nc.gov/farmersmarket,501 Yanceyville Street,Greensboro,Guilford,North Carolina,27405,Local government building grounds,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,N,N
Guilford Farmers Market,,1305 Battleground Avenue,Greensboro,Guilford,North Carolina,27298,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Wayne County Mini Mobile Farmer's Market,,Intersection of Herman and Pou,Goldsboro,Wayne,North Carolina,27530,Local government building grounds,Y,N,N,N,N,Y,N,N,Y,N,N,Y,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,N
fridays@G-Town Market,,Main Street,Gastonia,Gaston,North Carolina,28052,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Gastonia Farmers Market,http://www.gastoniafarmersmarket.com,410 E Long Avenue,Gastonia,Gaston,North Carolina,28054,Local government building grounds,Y,Y,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,Y,Y
Growers Market of Fuquay-Varina,http://www.Growers-Market.org,102 N. Main St.,Fuquay-Varina,Wake,North Carolina,27526,Local government building grounds,Y,N,N,N,N,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N
Franklin Tailgate Market,,West Palmer Street,Franklin,Macon,North Carolina,28734,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Tri-City Tailgate Farmers' Market,,"Tri-City Mall, beside Retro Cinema",Forest City,,North Carolina,28043,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
Flat Rock Tailgate Market,,2720 Greenville Hwy.,Flat Rock,Henderson,North Carolina,28731,Private business parking lot,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
Fayetteville Farmers Market,http://www.thefayettevillefarmersmarket.com,325 Franklin Street,Fayetteville,Cumberland,North Carolina,28301,Local government building grounds,Y,N,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,N,N,Y,N,N
Farmville Farmers' Market,,3730 North Main Street,Farmville,Pitt,North Carolina,27828,Private business parking lot,Y,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N
Fairview Tailgate Market,,594 Old Charlotte Hwy,Fairview,Buncombe,North Carolina,28732,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Erwin Farmers Market,http://www.erwin-nc.org,"Hwy 421 and intersection Hwy 55 goes into Erwin, 1 mile on the right, around the gazebo across from the Suntrust Bank.",Erwin,Harnett,North Carolina,28339,,Y,N,N,N,N,Y,N,N,Y,N,N,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N
Elon Community Church Farmers Market,,Corner of Williamson Ave & Haggart Ave,Elon,,North Carolina,27244,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
Elkin Farmers Market,http://www.surry.ces.ncsu.edu/,226 North Bridge Street,Elkin,Surry,North Carolina,28621,Local government building grounds,Y,N,Y,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N
Bladen County Farmers Market,,Highway 701 South,Elizabethtown,Bladen,North Carolina,28337,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Downtown Waterfront Market,http://www.downtownwaterfrontmarket.com,113 South Water St.,Elizabeth City,Pasquotank,North Carolina,27909,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Pasquotank Farmers Market,,Pritchard St. next to Co-op Ext. Center,Elizabeth City,Pasquotank,North Carolina,27906,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
EFLAND FARMERS MARKET,,off Hwy 70 between Efland Supermarket & Newbergs Automotive ,Efland,Orange County,North Carolina,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Chowan Farmers Market,,North Granville St. & Virginia Rd,Edenton,Chowan,North Carolina,27932,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Edenton Farmers Market,,corner of N. Oakum Street and Dicks Street,Edenton,Chowan,North Carolina,27932,Local government building grounds,Y,N,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,N
Duke Farmers Market,http://www.hr.duke.edu/farmersmarket/,Campus of Duke University Medical Center,Durham,Durham,North Carolina,27710,Healthcare Institution,Y,N,N,N,N,Y,N,N,Y,N,N,Y,Y,N,Y,N,N,N,N,Y,N,Y,N,N,N
Duke Farmers Market,http://www.hr.duke.edu/farmersmarket/,The Sarah P. Duke Gardens on Anderson Street,Durham,Durham,North Carolina,27710,Healthcare Institution,Y,N,N,N,N,N,N,N,Y,N,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,N,N,Y,N
Durham Farmers' Market,http://www.durhamfarmersmarket.com,501 Foster Street,Durham,Durham,North Carolina,27701,Other,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y
South Durham Farmers' Market,http://www.southdurhamfarmersmarket.org,5410 NC Highway 55,Durham,Durham,North Carolina,27713,Private business parking lot,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N
Dunn Farmers Market,,Downtown,Dunn,Harnett,North Carolina,28334,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Downtown Farmers Market I,,Muncipale parking lot on Franklin St. from funeral home,Dobson,Surry,North Carolina,27017,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Lincoln County Farmers Market at Denver,http://www.lincolncountyfarmersmarket.com,3633 Highway 16 North Business,Denver,Lincoln,North Carolina,28037,Educational institution,Y,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,N,N
Eden Street Market,,106 Eden Street,Davidson,,North Carolina,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
The Davidson Farmers Market,http://www.davidsonfarmersmarket.org,Main Street,Davidson,Mecklenburg,North Carolina,28036,Other,Y,N,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y
Danbury Farmers Market,,102 Old Church Road,Danbury,Stokes,North Carolina,27016,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Creedmoor Farmers Market,,214 North Main Street,Creedmoor,Granville,North Carolina,27522,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
"Conover Farmers Market, Inc",http://www.conoverfarmersmarket.org,109 1st Street East,Conover,Catawba,North Carolina,28613,Local government building grounds,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N,Y,Y
Afton Village Farmers Market,http://www.piedmont-farmersmarket.com,5401 Village Dr,Concord,Cabarrus,North Carolina,28027,Other,Y,Y,N,N,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N,N,N
Piedmont Farmers Market,http://www.piedmont-farmersmarket.com,518 Winecoff School Rd.,Concord,Cabarrus,North Carolina,28027,Other,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N
Piedmont Farmers Market,http://www.piedmont-farmersmarket.com,24 Market Street,Concord,Cabarrus,North Carolina,28027,Local government building grounds,Y,Y,N,N,N,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N
Columbus Tailgate Market,http://www.polkcountyfarms.org,"Columbus Courthouse, Route 108",Columbus,Polk,North Carolina,28722,Closed-off public street,Y,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,N
Tyrell county FM,,1366 Hwy64 E,Columbia,Tyrrell County,North Carolina,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Piedmont Triad Farmers Market,http://www.triadfarmersmarket.com,2914 Sandy Ridge Road,Colfax,Guilford,North Carolina,27235,Federal/State government building grounds,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y
Sampson Farmers Market,http://www.cityofclintonnc.com/sampson-market.html,215 Lisbon Street,Clinton,,North Carolina,28328,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
Clayton Farm and Community Market,http://www.clayton-farmers-market.org,100 West Main Street,Clayton,Johnston,North Carolina,27520,Local government building grounds,Y,N,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,Y,N,N,Y,N,N
China Grove Farmers Market,http://www.hist-society-srowan.com,308 N MainStreet,China Grove,Rowan,North Carolina,28023,Other,Y,N,N,N,N,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N
Cherokee Farmer's Tailgate Market,,Acquoni Road,Cherokee,Swain,North Carolina,28719,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Atherton Market,http://www.athertonmillandmarket.com,2104 South Boulevard,Charlotte,Mecklenburg,North Carolina,28203,Other,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,N,Y
Center City Green Market,http://www.centercitygreenmarket.com,101 S Tryon St,Charlotte,Mecklenburg,North Carolina,28202,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Charlotte Regional Farmers Market,http://www.ncdamarkets.org,1801 Yorkmont Road,Charlotte,Mecklenburg,North Carolina,28266-9184,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Elizabeth Avenue Farmers Market,http://www.elizabethavefarmersmarket.com,1521 Elizabeth Ave,Charlotte,Mecklenburg,North Carolina,28204,Private business parking lot,Y,N,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,N
Meeting Street Market at Cedar Walk,http://www.localharvest.org/meeting-street-market-at-cedar-walk-M28720,11425 Ardrey Kell Rd,Charlotte,,North Carolina,28277,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
Newell Farmers Market,http://www.newellfarmersmarket.com/,1704 Rocky River Road,Charlotte,,North Carolina,28213,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
North Mecklenburg Farmers Market,,700 N. Tryon Street,Charlotte,Mecklenburg,North Carolina,28202,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Chapel Hill Farmers' Market,http://www.thechapelhillfarmersmarket.com,201 S. Estes Dr,Chapel Hill,Orange,North Carolina,27514,Private business parking lot,Y,N,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N
Southern Village Farmers Market,http://www.southernvillagefarmersmarket.com,Aberdeen Drive at Market Street,Chapel Hill,Orange,North Carolina,27517,Closed-off public street,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,N,Y,Y,N,Y
Farmers Market at Center United Methodist Church,,4945 Sherrills Ford Road,Catawba,Catawba,North Carolina,28609,"Faith-based institution (e.g., church, mosque, synagogue, temple)",Y,N,N,N,N,Y,N,N,Y,Y,N,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N,N
Cashiers Tailgate Market,,"in Downtown Cashier, heading west on Hwy 64 , In the parking lot of Cashiers Community Center between Cashiers and fire station",Cashier,Jackson County,North Carolina,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Cary Downtown Farmers Market,,Main & Vance Streets,Cary,Wake,North Carolina,27502,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Waverly Farmers' Market,http://www.waverlyfm.com,New Waverly Pl,Cary,Wake,North Carolina,27518,Private business parking lot,Y,N,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N
Western Wake Farmers' Market,http://www.westernwakefarmersmarket.org,1225 Morrisville Carpenter Rd.,Cary,Wake,North Carolina,27519,Private business parking lot,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N
Carrboro Farmers' Market,http://www.carrborofarmersmarket.com,301 W. Main St. on the Town Commons,Carrboro,Orange,North Carolina,27510,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Canton Farmers Market,,58 Park St. across the street from museum,Canton,Haywood,North Carolina,28716,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Town of Candor Farmers Market,,Farmers Market Road off Hwy 211,Candor,Montgomery,North Carolina,27229,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Yancey County Farmers Market,,6 South Main Street,Burnsville,Yancey,North Carolina,28714,Local government building grounds,Y,N,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,Y,N,N,Y,N,Y,N,Y,N
Alamance County Farmers Market,,200 S. Main St.,Burlington,Alamance,North Carolina,27215,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Beautiful Day Farmers and Artists Market,,located in Federal Building parking lot on Main Street,Bryson City,Swain,North Carolina,28713,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Swain County Tailgate Market,,101 Mitchell St.,Bryson City,Swain,North Carolina,28713,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Transylvania Tailgate Association,,190 E. Main Street,Brevard,Transylvania,North Carolina,28712,Private business parking lot,Y,N,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N
High Country Farmers Market,http://www.highcountryfarmersmarket.wordpress.com,178 King St,Boone,Watauga,North Carolina,28607,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Watauga County Farmers' Market,http://www.wataugacountyfarmersmarket.org,591 Horn In the West Drive,Boone,Watauga,North Carolina,28607,Other,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,N
Blowing Rock Fresh Market,http://www.blowingrock.com/freshmarket.htm,Located between Memorial Park and the American Legion on Wallingford Street,Blowing Rock,Watauga County,North Carolina,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Black Mountain Tailgate Market,http://www.blackmountaintailgatemarket.org,130 Montreat Road,Black Mountain,Buncombe,North Carolina,28711,"Faith-based institution (e.g., church, mosque, synagogue, temple)",Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N
Belmont Farmers Market NC,http://www.localharvest.org/belmont-farmers-market-nc-M58853,North Main St. (Empty Lot),Belmont,,North Carolina,28012,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
Olde Beaufort Farmers' Market,http://www.beaufortfarmersmarket.com,300 Courthouse Square,Beaufort,Carteret,North Carolina,28516,Local government building grounds,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N
Big Ivy Tailgate Market,,540 Dillingham Rd,Barnardsville,Buncombe,North Carolina,28709,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Bakersville Farmers Market,,86 North Mitchell Avenue,Bakersviile,Mitchell,North Carolina,28705,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Asheville City Market,http://www.asapconnections.org/citymarket.html,161 South Charlotte St.,Asheville,Buncombe,North Carolina,28801,Local government building grounds,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
East Asheville Tailgate Market,,954 Tunnel Rd,Asheville,,North Carolina,28805,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
French Broad Food Coop Arts & Farms Market,,76 Biltmore Ave. next to the French Broad Food Co-op.,Asheville,Buncombe,North Carolina,28801,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Greenlife Sunday Afternoon Local Market,http://www.greenlifegrocery.com,70 Merrimon Avenue,Asheville,Buncombe,North Carolina,28801,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Montford Farmers Market,http://www.montfordfarmersmarket.com,36 Montford Ave,Asheville,Buncombe,North Carolina,28801,Private business parking lot,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N
North Asheville Tailgate Market,http://www.northashevilletailgatemarket.org,1 University Heights,Asheville,Buncombe,North Carolina,28804,Federal/State government building grounds,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N
Oakley Farmers Market,http://www.oakleyfarmersmarket.com,607 Fairview Road,Asheville,Buncombe,North Carolina,28803,"Faith-based institution (e.g., church, mosque, synagogue, temple)",Y,N,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,Y,Y,N
Victory Tailgate Market,,1329 Tunnel Road,Asheville,Buncombe,North Carolina,28805,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
WNC Farmers Market,http://www.wncfarmersmarket.org,570 Brevard Rd,Asheville,Buncombe,North Carolina,28806,Federal/State government building grounds,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,Y,N
Ashboro Downtown Farmers Market,,134 South Church Street,Asheboro,Randolph,North Carolina,28801,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Creekside Park Farmers Market,http://www.archdale-nc.gov,214 Park Drive,Archdale,Randolph,North Carolina,27263,Local government building grounds,Y,N,N,N,N,Y,N,Y,Y,N,N,N,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N
Andrews Farmers Market,http://www.andrewsfarmersmarket.com,First Street,Andrews,Cherokee,North Carolina,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Stanly County Farmers Market,http://www.albemarledowntown.com,100 Railroad St,Albemarle,Stanly,North Carolina,28001,Other,Y,Y,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,N
Peachtree Farmers Market,,111 Peachtree Lane,Advance,Davie,North Carolina,27006,Other,Y,N,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,Y,N
